Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp
45.08,43.0,52802.0,210.87,Vision-oriented attitude-oriented Internet solution,Lake Craigview,Male,Barbados,2016-04-17 18:38:14
81.38,30.0,57594.7,136.4,Compatible intangible customer loyalty,Yangside,Male,Cameroon,2016-03-06 06:51:23
37.65,45.0,59550.05,258.06,User-centric solution-oriented emulation,Brownview,Female,Ethiopia,2016-06-09 19:32:27
73.38,24.0,51013.37,190.08,Optimized coherent Internet solution,Joanntown,Male,Gabon,2016-04-08 22:40:55
87.16,44.0,58920.44,141.89,Front-line systemic capability,New Teresa,Male,Luxembourg,2016-05-15 18:44:50
67.39,29.0,43111.41,162.46,Quality-focused hybrid frame,Kristinfurt,Female,Hong Kong,2016-04-07 03:56:16
46.28,41.0,49742.83,109.34,Focused high-level conglomeration,Erikville,Male,Faroe Islands,2016-06-16 18:04:51
76.44,28.0,45716.48,196.83,Switchable 3rdgeneration hub,West Joseph,Male,Montserrat,2016-06-04 17:24:07
75.84,52.0,27073.27,176.7,Configurable logistical Graphical User Interface,Hannahside,Male,Cayman Islands,2016-03-21 11:02:49
81.56,46.0,46500.11,233.36,Advanced full-range migration,East Breannafurt,Female,Barbados,2016-06-16 02:01:24
60.7,39.0,60550.66,138.87,Optimized systemic capability,Adamsbury,Female,Australia,2016-01-13 20:38:35
66.4,34.0,54324.73,221.53,Vision-oriented methodical support,Port Derekberg,Male,Bosnia and Herzegovina,2016-01-04 21:48:38
66.79,31.0,38427.66,212.67,Ameliorated tangible hierarchy,Jonesshire,Male,Maldives,2016-05-27 05:23:26
77.44,31.0,57669.41,212.67,Extended local methodology,Port Melissastad,Male,Burkina Faso,2016-05-27 05:23:26
55.39,39.0,25603.93,159.05,Focused fresh-thinking Graphic Interface,Paulshire,Male,United Arab Emirates,2016-02-04 02:13:52
66.17,37.0,71455.62,253.17,Quality-focused hybrid frame,East Benjaminville,Female,Moldova,2016-01-05 20:58:42
72.6,50.0,50960.08,127.2,Enterprise-wide foreground emulation,East Breannafurt,Female,Taiwan,2016-01-30 04:38:41
72.6,37.0,52691.79,119.3,Extended interactive model,Hayesmouth,Female,Moldova,2016-07-17 01:13:56
41.73,37.0,67511.86,141.89,Enterprise-wide tangible model,West Angela,Male,Marshall Islands,2016-03-23 21:06:51
73.95,43.0,51636.92,210.87,Enterprise-wide incremental Internet solution,West David,Male,Burundi,2016-06-01 03:44:42
